"id" "baseMean" "baseMeanA" "baseMeanB" "foldChange" "log2FoldChange" "pval" "padj"
"441" "ENSG00000024526.14" 5765.24044800656 7057.28992619224 4473.19096982089 0.633839762373826 -0.657809928414028 5.53689908304087e-11 8.96631595259932e-09
"443" "ENSG00000025039.12" 424.396557448048 483.424155978592 365.368958917503 0.755793756681209 -0.40393549378388 0.000371270330533798 0.00356832677494802
"445" "ENSG00000025293.13" 2438.55288147452 2721.91739345088 2155.18836949815 0.791790513071291 -0.336809313231649 0.000656637268649244 0.00575752001038981
"449" "ENSG00000025770.16" 1534.08057609343 1304.38136021531 1763.77979197155 1.35219640955343 0.435304721522797 4.45482129450869e-05 0.000621117953761722
"451" "ENSG00000025796.11" 4929.25484454999 5580.30539738516 4278.20429171481 0.766661318163609 -0.383338704272052 0.000176758523384745 0.00193786178035207
"454" "ENSG00000026036.18" 95.4071854175529 52.9493008242452 137.865070010861 2.60371842242972 1.38057343754761 4.55214829549725e-14 2.02193421148001e-11
"465" "ENSG00000027697.10" 1324.01561945537 1519.38336899477 1128.64786991597 0.742832844526058 -0.428890489108796 2.91679877409597e-05 0.000434542920384245
"466" "ENSG00000027847.11" 620.523240594085 487.09648231648 753.94999887169 1.54784529604102 0.630261284280914 3.61002925144996e-06 7.89332134219986e-05
"470" "ENSG00000028203.15" 1741.50893739992 1956.17336819359 1526.84450660624 0.780526169833395 -0.357481090543347 0.000687633620848765 0.00597704907448415
"476" "ENSG00000029363.13" 7145.72744567097 8257.78132493637 6033.67356640557 0.730665214902874 -0.452717568920671 3.57615276316044e-06 7.83578165695449e-05
"484" "ENSG00000030110.10" 484.206838113255 409.534285036484 558.879391190025 1.36467058219615 0.448552741044323 0.000219387450263536 0.00230835688784902
"486" "ENSG00000030419.14" 59.0151539923691 72.9653362522042 45.0649717325341 0.617621654983777 -0.695204757776828 0.000928538492239514 0.00763505661123161
"487" "ENSG00000030582.14" 3264.18580472968 2574.43149493864 3953.94011452072 1.53584980695513 0.619037139655734 0.000503869726990697 0.00460923241115157
"490" "ENSG00000031691.6" 836.955363106341 977.366943172068 696.543783040614 0.712673768953106 -0.488686270138382 1.44090270846576e-05 0.000246563274692446
"493" "ENSG00000032219.16" 636.619400951029 769.944889367268 503.293912534791 0.653675242845487 -0.613354036997078 1.25479041493714e-07 5.20185914416342e-06
"495" "ENSG00000032444.13" 3795.91426563789 3197.31854169819 4394.50998957759 1.37443608832404 0.458839822673559 2.31595143342129e-05 0.000362028969170109
"500" "ENSG00000033100.12" 3237.87561277931 2786.01297357604 3689.73825198258 1.32437942212686 0.405316499790343 4.31265019268262e-05 0.000605094403388484
"503" "ENSG00000033178.10" 3566.31707165413 4263.17173372172 2869.46240958654 0.673081590143104 -0.57114669768886 8.9451747139688e-08 3.88983737352053e-06
"507" "ENSG00000033867.14" 3837.74526353401 4795.97018121292 2879.5203458551 0.600404138694385 -0.735994173136478 1.87007759356844e-13 7.13809206955118e-11
"513" "ENSG00000034677.9" 1362.86661673293 1520.38422445378 1205.34900901208 0.792792367630043 -0.334985021408484 0.000851660924962934 0.00710677441732355
"523" "ENSG00000035687.9" 3795.96766833486 4359.82504128394 3232.11029538578 0.74133944935413 -0.431793810434273 1.24763219437145e-05 0.000219284229436954
"526" "ENSG00000035928.12" 5269.58117435604 5975.3738059389 4563.78854277317 0.763766199570183 -0.388797019901378 0.000101445996950339 0.00122476718031864
"527" "ENSG00000036054.10" 2405.61570661759 2800.17857250484 2011.05284073035 0.718187354362694 -0.477567844222364 2.36839097130759e-06 5.53669263758613e-05
"528" "ENSG00000036257.10" 3587.76942762962 4148.92635886551 3026.61249639374 0.729492942174404 -0.455034074714371 2.85617922016217e-06 6.44911578164721e-05
"532" "ENSG00000036549.10" 3916.73677348528 4484.89730843265 3348.57623853792 0.746633871023493 -0.421527136943923 1.29092097047596e-05 0.000225490532663137
"536" "ENSG00000037042.8" 447.964289064278 370.690518754552 525.238059374004 1.41691797550879 0.502756243963881 1.18183776197695e-05 0.000209855509396843
"541" "ENSG00000037749.9" 1223.5393767725 1430.59408831825 1016.48466522675 0.710533248757997 -0.493025934235696 1.34372767603786e-06 3.51972880399066e-05
"546" "ENSG00000038210.11" 2345.69902931004 2767.98365649363 1923.41440212645 0.694879248153853 -0.525165797950704 1.23779453400113e-06 3.31485854015187e-05
"548" "ENSG00000038274.14" 4624.57466810737 5158.48201444492 4090.66732176983 0.792998271645619 -0.334610373335172 0.000560975341890334 0.00503953924589837
"550" "ENSG00000038358.12" 1875.6951067447 1600.43258534719 2150.95762814221 1.3439851499122 0.426517197442278 4.74022366133371e-05 0.000653583299681542
"552" "ENSG00000038427.13" 27468.1657171971 30548.6217093489 24387.7097250453 0.798324387826042 -0.32495301057763 0.000684832738878583 0.00595769992087658
"556" "ENSG00000039123.13" 5238.10273626495 6041.99830248226 4434.20717004764 0.733897453798674 -0.446349602979003 6.88344612523163e-06 0.000133929979302692
"558" "ENSG00000039319.14" 2611.26008288008 3134.38417816971 2088.13598759046 0.66620295052976 -0.585966351344587 2.58978658278478e-08 1.4126604286306e-06
"561" "ENSG00000039560.11" 5142.40162469282 5843.95409008877 4440.84915929686 0.759904867635503 -0.396109275779946 4.54364435666388e-05 0.00063011146448436
"563" "ENSG00000039650.7" 726.034711099312 547.283003878456 904.786418320167 1.65323317535567 0.725290219611974 4.27249908175526e-11 7.42125929887902e-09
"566" "ENSG00000040275.14" 4007.76127176193 4490.65795968259 3524.86458384127 0.784932768313179 -0.349359006456331 0.000475761294165888 0.00439725628959744
"567" "ENSG00000040341.15" 1303.73890961387 1488.09424823555 1119.38357099219 0.752226260076911 -0.410761423418155 6.11120771204093e-05 0.000806150488683821
"568" "ENSG00000040487.10" 424.991017853654 333.572575827216 516.409459880092 1.54811725334274 0.630514744356915 3.10590873328298e-07 1.08748777404543e-05
"569" "ENSG00000040531.12" 572.011151435132 478.964801374632 665.057501495632 1.38853105611709 0.473559445075421 4.99156480282815e-05 0.000682187836701244
