"id" "baseMean" "baseMeanA" "baseMeanB" "foldChange" "log2FoldChange" "pval" "padj"
"142" "ENSG00000006576.14" 3628.53672069838 3956.10183518116 3300.97160621561 0.834400059386855 -0.261188834348573 6.78138714534707e-05 0.00200517213112673
"143" "ENSG00000006606.6" 182.900358441091 158.112645589933 207.688071292249 1.31354497622468 0.393465599683889 0.0019809394602026 0.0254518934997333
"146" "ENSG00000006625.15" 1947.27907850709 2248.95254218138 1645.6056148328 0.731720916278934 -0.450634595932889 2.15310628227622e-06 0.000142089325406426
"147" "ENSG00000006634.5" 2994.41235826524 3239.16245213801 2749.66226439247 0.84888063041653 -0.236366398604805 0.000373421519929117 0.00720211427584219
"149" "ENSG00000006652.11" 1044.68032796139 1133.2767133901 956.083942532681 0.843645626206008 -0.245290973533451 0.0016955433108462 0.0225244716260087
"152" "ENSG00000006704.8" 1297.90160992192 1184.37057377355 1411.4326460703 1.19171539493193 0.253039732993117 0.000658613917957827 0.0111309267298918
"156" "ENSG00000006744.16" 1844.08776024091 1695.95240964805 1992.22311083377 1.17469281537635 0.232283538344694 0.00104400919101919 0.0156745379920605
"167" "ENSG00000007080.8" 1148.88502638251 1020.80245317794 1276.96759958707 1.25094487734786 0.323018218817093 2.2126579421796e-05 0.000840576755437818
"183" "ENSG00000007376.5" 678.174059170795 594.661554818831 761.686563522759 1.28087406584543 0.357128638434044 0.00056731927107511 0.00988537511260041
"184" "ENSG00000007384.13" 975.881344234806 829.603997647233 1122.15869082238 1.35264378426916 0.435781958803702 0.00744110586902127 0.0690801171721079
"187" "ENSG00000007516.11" 228.500261424319 172.430887963034 284.569634885603 1.65034025079433 0.722763495700161 0.00124770244935115 0.0177756999390039
"188" "ENSG00000007520.3" 742.684704917019 672.742170652576 812.627239181462 1.20793265924328 0.2725400284347 0.00095504167929136 0.014680499458551
"189" "ENSG00000007541.12" 839.230198333773 701.794628327919 976.665768339627 1.39166891411895 0.476816026723483 0.00047291286500134 0.0085527003705746
"190" "ENSG00000007545.13" 649.86518506178 585.39727447979 714.333095643771 1.2202535385539 0.287180935338856 0.00544200615279391 0.0544985961339952
"197" "ENSG00000007968.6" 1325.08600771569 1195.92789545639 1454.24411997499 1.21599648733005 0.282139061249559 0.000173034457141035 0.00401687108063245
"198" "ENSG00000008018.8" 4449.28061353303 4072.30294422314 4826.25828284292 1.18514225217191 0.245060235651677 0.00186519550041223 0.0242148675625638
"213" "ENSG00000008300.12" 1642.05652994845 1390.19819095199 1893.91486894491 1.36233443639283 0.446080910764023 8.2510614095191e-07 6.94205244000892e-05
"217" "ENSG00000008382.13" 230.508081952643 198.377874086498 262.638289818788 1.32392934962228 0.404826135990187 0.000765304111628907 0.0124799030038661
"221" "ENSG00000008441.14" 1894.1830287322 2022.09870613034 1766.26735133406 0.873482261760672 -0.195149688974583 0.00730265209385416 0.0681029617828311
"225" "ENSG00000008710.15" 2076.96043877871 1653.35081276434 2500.57006479309 1.5124255817265 0.596864156922466 0.000884629203721303 0.0138986939215248
