"id" "baseMean" "baseMeanA" "baseMeanB" "foldChange" "log2FoldChange" "pval" "padj"
"43" "ENSG00000003756.14" 1615.81656779226 1403.92077574574 1827.71235983878 1.30186289099392 0.380577515401386 2.02465596768796e-07 3.89949489712452e-06
"46" "ENSG00000004059.8" 3241.12004935475 2916.39446370984 3565.84563499965 1.22268975591994 0.290058382298515 0.00168903118351928 0.0101517676107359
"49" "ENSG00000004399.10" 1021.16382390719 954.014777700894 1088.31287011348 1.1407715011881 0.190009845863444 0.00989569472692278 0.0456731132289678
"54" "ENSG00000004534.12" 1497.61549037589 1342.00729416241 1653.22368658938 1.23190365192553 0.300889426223747 6.12321372632383e-05 0.000579994077807502
"55" "ENSG00000004660.12" 385.591658138522 309.57188326039 461.611433016654 1.49112841952891 0.576404511302999 2.84655279183248e-09 8.78823853019014e-08
"56" "ENSG00000004700.13" 2584.48919798616 3069.02368344812 2099.95471252421 0.684241937867635 -0.547421563860383 1.27065036379217e-15 1.57854261528954e-13
"57" "ENSG00000004766.13" 1312.83642112588 1513.67253716367 1112.00030508808 0.734637299538878 -0.444895947397078 1.7073609009792e-09 5.59232432923671e-08
"59" "ENSG00000004777.16" 372.577350251621 247.692814010594 497.461886492648 2.00838239284315 1.00603398230462 2.96963925206175e-22 1.14320112540481e-19
"66" "ENSG00000004864.11" 2852.73224515532 3092.84424867597 2612.62024163468 0.844730620610182 -0.243436746710821 0.000423587989619663 0.00307384703102637
"68" "ENSG00000004897.9" 6727.41310623717 7642.38193612787 5812.44427634647 0.760554016394977 -0.394877379590142 8.88002218561711e-10 3.1217232445537e-08
"71" "ENSG00000004961.12" 1286.79999280669 1389.42607270753 1184.17391290585 0.852275580663524 -0.230608098037472 0.002156797223915 0.0125052530747708
"72" "ENSG00000004975.9" 1157.61556595124 1075.8541039877 1239.37702791479 1.15199358660341 0.204132685008339 0.00601920818028488 0.0299347606822397
"73" "ENSG00000005001.7" 215.599620623725 185.003080280157 246.196160967293 1.33076790178017 0.412258973842402 0.000739911519744104 0.00500801411084451
"75" "ENSG00000005020.10" 4161.83561680968 4624.11114073711 3699.56009288225 0.800058644847477 -0.321822340475249 1.53156261723598e-06 2.26230154100674e-05
"79" "ENSG00000005075.13" 723.183641327795 631.160432534913 815.206850120678 1.29160005617999 0.369159408816611 2.97507534963082e-06 4.06168124133924e-05
"83" "ENSG00000005156.9" 1404.29186172822 1494.60109007864 1313.9826333778 0.879152733194289 -0.185814271633992 0.0107073469497852 0.0488623580547641
"84" "ENSG00000005175.7" 1963.25265483858 2233.20027983475 1693.30502984242 0.75824145515857 -0.399270760092408 2.75939412463046e-07 5.10331320616956e-06
"88" "ENSG00000005206.14" 627.31647563972 413.397482065257 841.235469214183 2.03493128456305 1.02498007847486 2.00855823588321e-32 3.68416840654766e-29
"89" "ENSG00000005238.17" 362.916411009666 314.1097931854 411.723028833933 1.31076151640684 0.390405221490386 0.000429035542937028 0.00310687094748314
"97" "ENSG00000005436.11" 1210.17822816104 1390.5514767196 1029.80497960248 0.740573072513544 -0.433286001301977 4.82619919686812e-09 1.38957103745837e-07
"101" "ENSG00000005483.17" 3286.16442362838 3682.72005282718 2889.60879442959 0.784639818661014 -0.349897544168857 1.96300453496927e-07 3.78777273573092e-06
"102" "ENSG00000005486.14" 1140.61074663413 1038.31370914296 1242.90778412529 1.19704456676317 0.259476865774566 0.00294843805135934 0.0162434974059164
"104" "ENSG00000005700.12" 2848.89598759371 3274.94299604984 2422.84897913758 0.739814092049834 -0.434765313570114 1.98299898531658e-07 3.82398728263089e-06
"105" "ENSG00000005801.14" 732.108075764031 661.712988754908 802.503162773154 1.21276622404399 0.278301479628586 0.000699744811237899 0.00476407045939305
"106" "ENSG00000005810.15" 4556.87469854643 5264.0300009681 3849.71939612476 0.731325504493092 -0.451414418949211 0.0107980280566613 0.0491826045665811
